corp_nm,corp_gbn,prdct,addr,lon,lat
(주)에스이엔,중소기업,자동차부품(이너피스),전라북도 완주군 봉동읍 장구리 584-4,127.1153815,35.96575927
(주)에이.비.아이,중소기업,헴철(식품첨가물),전라북도 완주군 이서면 이문리 711번지 전북대학교 창업보육센터 2동 104호,127.0143447,35.82182536
(주)에이스터보,중소기업,송풍기,전라북도 완주군 봉동읍 장구리 587-5번지,127.1119393,35.96725562
(주)에이스테크,중소기업,자동차도어 및 기타부품,전라북도 완주군 봉동읍 장구리 673-1,127.1089743,35.96565189
(주)에이치엔엠이엔지,중소기업,자동화설비/ 차량안전시스템/ 태양광발전시시템,전라북도 완주군 봉동읍 장구리 584-7번지,127.1147738,35.96564441
(주)에이치티오 라이프,중소기업,다류(액상차),전라북도 완주군 고산면 읍내리 57-1번지,127.2142453,35.97831587
(주)에이치티오 라이프,중소기업,다류(액상차),전라북도 완주군 봉동읍 장구리 56-4번지,127.1247154,35.9749586
(주)에코스이엔씨,중소기업,태양광 발전장치 외,전라북도 완주군 봉동읍 장구리 584-7번지,127.1147738,35.96564441
(주)에코스틸,중소기업,돌망태 용접철망/ 디자인시트,전라북도 완주군 소양면 신촌리 271-1번지,127.2833729,35.81241914
(주)에코팜,중소기업,농업용 장거리 무선 제어기/ 유황훈증기,전라북도 완주군 봉동읍 둔산리 864-9 연구동 102호,127.1192336,35.96483859
(주)엘리트산업,중소기업,BUMPER BEAM & ASSY,전라북도 완주군 봉동읍 장구리 578-10번지,127.1188706,35.97244044
(주)엘에이테크,중소기업,자동차부품/ 특장차,전라북도 완주군 봉동읍 용암리 802-1번지,127.128602,35.94511601
(주)연합엔지니어링,중소기업,펌프등 기계부품,전라북도 완주군 삼례읍 하리 1111-3번지,127.0878793,35.90332902
(주)영산글로넷,중소기업,자동차부품,전라북도 완주군 봉동읍 용암리 796번지,127.1401527,35.94489417
(주)영산글로넷,중소기업,특장차개조,전라북도 완주군 봉동읍 장구리 583-2번지,127.1151493,35.9695273
